orf_id	ensembl_gene_id	ensembl_gene_id_version	ensembl_protein_id
820	ENSG00000062725	10	ENSP00000083182.3
824	ENSG00000106511	6	ENSP00000262041.5
835	ENSG00000114054	14	ENSP00000251654.4
842	ENSG00000102010	15	ENSP00000308774.6
843	ENSG00000118600	13	ENSP00000261234.6
856	ENSG00000176896	9	ENSP00000512421.1
861	ENSG00000143815	15	ENSP00000272163.4
869	ENSG00000166091	21	ENSP00000352270.3
876	ENSG00000112763	17	ENSP00000416945.1
879	ENSG00000151224	13	ENSP00000361287.3
888	ENSG00000175198	17	ENSP00000365462.1
891	ENSG00000112081	17	ENSP00000362820.5
918	ENSG00000101997	13	ENSP00000365401.3
925	ENSG00000114978	18	ENSP00000379364.3
931	ENSG00000086475	15	ENSP00000367893.3
946	ENSG00000143753	13	ENSP00000316476.4
954	ENSG00000174851	16	ENSP00000366098.4
955	ENSG00000075624	17	ENSP00000494750.1
956	ENSG00000168958	21	ENSP00000304134.9
957	ENSG00000178078	12	ENSP00000471052.1
961	ENSG00000165630	15	ENSP00000367835.3
968	ENSG00000135069	14	ENSP00000365773.3
978	ENSG00000268606	6	ENSP00000507899.1
989	ENSG00000129245	13	ENSP00000250113.7
991	ENSG00000236104	3	ENSP00000407545.2
996	ENSG00000134684	13	ENSP00000362576.4
998	ENSG00000133818	14	ENSP00000256196.4
1012	ENSG00000135932	12	ENSP00000258418.5
1037	ENSG00000102977	18	ENSP00000478084.1
1039	ENSG00000188295	15	ENSP00000342818.6
1052	ENSG00000011590	14	ENSP00000433657.1
1063	ENSG00000205571	14	ENSP00000370119.4
1069	ENSG00000104783	15	ENSP00000496939.1
1074	ENSG00000080561	14	ENSP00000413976.2
1081	ENSG00000175387	16	ENSP00000262160.6
1097	ENSG00000072778	20	ENSP00000349297.5
1107	ENSG00000203667	10	ENSP00000406327.2
1136	ENSG00000135363	12	ENSP00000379175.3
1142	ENSG00000152661	9	ENSP00000282561.3
1155	ENSG00000128683	14	ENSP00000350928.3
1161	ENSG00000114279	15	ENSP00000393686.1
1172	ENSG00000172568	5	ENSP00000310594.4
1184	ENSG00000048540	16	ENSP00000440099.1
1187	ENSG00000125629	16	ENSP00000245787.4
1190	ENSG00000101624	11	ENSP00000262127.2
1194	ENSG00000163630	11	ENSP00000295894.5
1198	ENSG00000125735	11	ENSP00000502837.1
1214	ENSG00000180332	7	ENSP00000368402.1
1227	ENSG00000113595	15	ENSP00000231524.9
1230	ENSG00000122958	15	ENSP00000263559.6
1231	ENSG00000240583	14	ENSP00000311165.4
1235	ENSG00000116983	13	ENSP00000361935.3
1256	ENSG00000146021	15	ENSP00000312397.4
1270	ENSG00000118733	17	ENSP00000359121.5
1275	ENSG00000167487	12	ENSP00000300976.3
1284	ENSG00000150787	8	ENSP00000280362.3
1295	ENSG00000159374	18	ENSP00000414882.2
1317	ENSG00000101349	17	ENSP00000322957.5
1326	ENSG00000117335	21	ENSP00000346912.1
1328	ENSG00000164707	16	ENSP00000297282.5
1391	ENSG00000162814	11	ENSP00000355900.4
1414	ENSG00000137098	14	ENSP00000340982.2
1446	ENSG00000163206	6	ENSP00000357754.3
1454	ENSG00000168763	16	ENSP00000305449.3
1485	ENSG00000140009	19	ENSP00000345616.6
1496	ENSG00000143702	16	ENSP00000430142.1
1527	ENSG00000188386	8	ENSP00000363939.2
1557	ENSG00000155304	6	ENSP00000285667.3
1565	ENSG00000104863	12	ENSP00000221459.2
1579	ENSG00000163060	8	ENSP00000295201.4
1586	ENSG00000075945	13	ENSP00000354560.2
1596	ENSG00000114107	9	ENSP00000264982.3
1598	ENSG00000136143	16	ENSP00000494360.1
1601	ENSG00000145715	15	ENSP00000274376.6
1611	ENSG00000174015	10	ENSP00000368249.3
1617	ENSG00000165120	5	ENSP00000297819.3
1639	ENSG00000152193	8	ENSP00000282003.6
1640	ENSG00000136631	16	ENSP00000495563.1
1668	ENSG00000131931	8	ENSP00000254250.3
1684	ENSG00000171311	13	ENSP00000359939.3
1697	ENSG00000115841	21	ENSP00000346549.3
1734	ENSG00000166579	16	ENSP00000333982.7
1736	ENSG00000154065	17	ENSP00000468354.1
1769	ENSG00000175294	6	ENSP00000309052.5
1777	ENSG00000153815	18	ENSP00000381120.4
1800	ENSG00000060762	19	ENSP00000354223.6
1805	ENSG00000177426	22	ENSP00000339631.6
1818	ENSG00000111913	20	ENSP00000367262.4
1841	ENSG00000169567	13	ENSP00000304229.5
1846	ENSG00000145945	7	ENSP00000496837.1
1853	ENSG00000112214	11	ENSP00000326022.2
1863	ENSG00000115145	10	ENSP00000263904.4
1868	ENSG00000147378	11	ENSP00000359375.3
1879	ENSG00000155754	15	ENSP00000286195.3
1881	ENSG00000184708	18	ENSP00000328103.5
1884	ENSG00000174405	15	ENSP00000402030.1
1909	ENSG00000129083	13	ENSP00000397873.2
1919	ENSG00000157500	12	ENSP00000288266.3
1923	ENSG00000184937	16	ENSP00000368370.2
1940	ENSG00000226941	9	ENSP00000250831.5
1957	ENSG00000204599	16	ENSP00000379800.3
1958	ENSG00000040531	16	ENSP00000371294.3
1967	ENSG00000101004	16	ENSP00000278886.6
1969	ENSG00000157343	9	ENSP00000288065.2
1974	ENSG00000175699	15	ENSP00000490490.1
1976	ENSG00000118402	6	ENSP00000358831.4
2003	ENSG00000157103	13	ENSP00000287766.4
2012	ENSG00000197753	11	ENSP00000353346.1
2018	ENSG00000198326	10	ENSP00000369959.1
2026	ENSG00000158062	21	ENSP00000363332.1
2030	ENSG00000161798	7	ENSP00000293599.5
2055	ENSG00000064703	13	ENSP00000505857.1
2077	ENSG00000244607	7	ENSP00000309836.6
2078	ENSG00000108395	14	ENSP00000262294.7
2088	ENSG00000121207	12	ENSP00000337224.3
2092	ENSG00000001167	15	ENSP00000229418.6
2098	ENSG00000183690	13	ENSP00000404232.2
2099	ENSG00000185002	10	ENSP00000332208.2
2104	ENSG00000120498	14	ENSP00000363453.2
2141	ENSG00000223953	6	ENSP00000431140.1
2156	ENSG00000107537	14	ENSP00000263038.4
2162	ENSG00000166323	13	ENSP00000376799.1
2177	ENSG00000123124	14	ENSP00000427793.1
2181	ENSG00000122585	8	ENSP00000242152.2
2205	ENSG00000162882	15	ENSP00000294973.6
2208	ENSG00000184672	12	ENSP00000430367.1
2245	ENSG00000174943	11	ENSP00000455785.1
2246	ENSG00000106025	9	ENSP00000222747.3
2260	ENSG00000179363	7	ENSP00000316940.6
2261	ENSG00000135018	14	ENSP00000365576.4
2265	ENSG00000173421	17	ENSP00000296449.5
2269	ENSG00000162885	14	ENSP00000355559.3
2286	ENSG00000155755	20	ENSP00000387203.2
2304	ENSG00000175455	16	ENSP00000418002.1
2332	ENSG00000183246	8	ENSP00000350885.4
2339	ENSG00000100811	15	ENSP00000262238.4
2347	ENSG00000102753	10	ENSP00000261667.3
2352	ENSG00000177272	10	ENSP00000358784.2
2353	ENSG00000204103	4	ENSP00000362410.2
2362	ENSG00000272514	6	ENSP00000358575.4
2369	ENSG00000211456	14	ENSP00000373713.4
2370	ENSG00000113368	12	ENSP00000261366.5
2374	ENSG00000170540	15	ENSP00000306788.7
2380	ENSG00000170421	13	ENSP00000509398.1
2384	ENSG00000017797	13	ENSP00000372924.3
2403	ENSG00000115942	9	ENSP00000234296.2
2416	ENSG00000147155	11	ENSP00000417052.1
2417	ENSG00000163283	7	ENSP00000375881.2
2421	ENSG00000172053	18	ENSP00000307567.6
2430	ENSG00000166333	14	ENSP00000299421.4
2431	ENSG00000179933	6	ENSP00000322238.4
2442	ENSG00000178035	13	ENSP00000321584.4
2448	ENSG00000030582	18	ENSP00000053867.2
2454	ENSG00000100842	13	ENSP00000340607.3
2455	ENSG00000108946	16	ENSP00000464977.2
2456	ENSG00000095713	14	ENSP00000359629.3
2468	ENSG00000109654	16	ENSP00000415812.2
2472	ENSG00000090776	6	ENSP00000204961.4
2486	ENSG00000117461	15	ENSP00000262741.5
2500	ENSG00000170260	9	ENSP00000338572.2
2521	ENSG00000087470	21	ENSP00000415131.2
2522	ENSG00000112343	11	ENSP00000349596.2
2526	ENSG00000184990	13	ENSP00000329447.6
2530	ENSG00000109814	12	ENSP00000319501.6
2533	ENSG00000100994	12	ENSP00000216962.3
2538	ENSG00000172375	14	ENSP00000497391.1
2549	ENSG00000149532	16	ENSP00000378352.4
2560	ENSG00000104381	14	ENSP00000502673.1
2563	ENSG00000129682	16	ENSP00000322390.6
2584	ENSG00000137203	15	ENSP00000368928.3
2587	ENSG00000091073	20	ENSP00000411986.2
2588	ENSG00000109103	12	ENSP00000337040.3
2595	ENSG00000105329	11	ENSP00000221930.4
2613	ENSG00000088002	12	ENSP00000201586.2
2615	ENSG00000178750	3	ENSP00000320679.2
2617	ENSG00000163684	12	ENSP00000295959.5
2620	ENSG00000124216	4	ENSP00000244050.2
2622	ENSG00000026103	25	ENSP00000498466.1
2634	ENSG00000127870	17	ENSP00000371000.4
2636	ENSG00000204539	4	ENSP00000365465.2
2644	ENSG00000010165	20	ENSP00000354920.3
2649	ENSG00000080166	16	ENSP00000366227.4
2651	ENSG00000128973	13	ENSP00000249806.5
2654	ENSG00000165140	12	ENSP00000364475.5
2658	ENSG00000188629	14	ENSP00000341497.3
2665	ENSG00000188910	8	ENSP00000362464.2
2680	ENSG00000101695	9	ENSP00000217740.3
2687	ENSG00000126522	17	ENSP00000307188.9
2693	ENSG00000163993	7	ENSP00000296370.3
2704	ENSG00000132170	24	ENSP00000494873.2
2713	ENSG00000076242	16	ENSP00000231790.3
2723	ENSG00000147862	18	ENSP00000370346.3
2729	ENSG00000115919	15	ENSP00000364928.2
2739	ENSG00000186184	20	ENSP00000302478.4
2758	ENSG00000134291	12	ENSP00000400471.2
2767	ENSG00000117308	15	ENSP00000483375.1
2772	ENSG00000119986	7	ENSP00000359660.3
2778	ENSG00000159210	10	ENSP00000421380.1
2786	ENSG00000078369	19	ENSP00000367872.3
2792	ENSG00000198732	11	ENSP00000370680.4
2794	ENSG00000188536	13	ENSP00000251595.6
2801	ENSG00000140368	14	ENSP00000452746.1
2803	ENSG00000256269	11	ENSP00000498786.1
2810	ENSG00000101144	13	ENSP00000379204.3
2816	ENSG00000173369	18	ENSP00000512147.1
2818	ENSG00000159189	13	ENSP00000363771.4
2821	ENSG00000161542	17	ENSP00000414624.2
2827	ENSG00000100218	12	ENSP00000216036.4
2831	ENSG00000177042	16	ENSP00000380648.4
2837	ENSG00000132744	8	ENSP00000255082.3
2838	ENSG00000106609	16	ENSP00000340668.4
2842	ENSG00000154102	11	ENSP00000473536.1
2845	ENSG00000115255	12	ENSP00000233596.2
2860	ENSG00000099256	19	ENSP00000318602.5
2863	ENSG00000179295	19	ENSP00000376376.1
2866	ENSG00000162992	5	ENSP00000295108.3
2869	ENSG00000105755	8	ENSP00000292147.1
2872	ENSG00000181965	6	ENSP00000317580.4
2893	ENSG00000132471	12	ENSP00000254806.3
2906	ENSG00000172638	13	ENSP00000309953.6
2910	ENSG00000114019	15	ENSP00000409999.2
2914	ENSG00000139613	12	ENSP00000302919.4
2918	ENSG00000164929	17	ENSP00000312457.5
2920	ENSG00000131095	14	ENSP00000466598.2
2922	ENSG00000115461	5	ENSP00000233813.4
2924	ENSG00000105088	9	ENSP00000264833.3
2938	ENSG00000205084	12	ENSP00000258173.5
2940	ENSG00000185811	21	ENSP00000413025.1
2958	ENSG00000244754	9	ENSP00000267068.3
2961	ENSG00000112640	16	ENSP00000417963.1
2991	ENSG00000138101	20	ENSP00000384787.1
2998	ENSG00000132639	15	ENSP00000307341.2
3013	ENSG00000111371	16	ENSP00000381634.4
3015	ENSG00000105392	17	ENSP00000221996.5
3020	ENSG00000128656	15	ENSP00000386741.4
3022	ENSG00000138760	11	ENSP00000264896.2
3023	ENSG00000108788	12	ENSP00000416627.1
3031	ENSG00000148175	13	ENSP00000286713.2
3037	ENSG00000139197	11	ENSP00000266564.3
3038	ENSG00000118260	15	ENSP00000387699.2
3048	ENSG00000160191	18	ENSP00000335242.4
3050	ENSG00000074527	13	ENSP00000444432.1
3057	ENSG00000179151	13	ENSP00000320503.4
3064	ENSG00000117614	10	ENSP00000236273.4
3068	ENSG00000145358	6	ENSP00000354830.2
3077	ENSG00000125826	22	ENSP00000348632.6
3086	ENSG00000108433	17	ENSP00000492751.1
3090	ENSG00000100319	13	ENSP00000344241.3
3091	ENSG00000081307	15	ENSP00000348565.4
3095	ENSG00000162078	12	ENSP00000371715.4
3108	ENSG00000106366	9	ENSP00000223095.4
3110	ENSG00000143013	13	ENSP00000359575.4
3123	ENSG00000184009	13	ENSP00000458435.1
3125	ENSG00000239672	8	ENSP00000376892.3
3146	ENSG00000101210	13	ENSP00000217182.3
3148	ENSG00000175390	15	ENSP00000499218.1
3171	ENSG00000162735	19	ENSP00000357051.5
3175	ENSG00000119718	11	ENSP00000266126.5
3180	ENSG00000102030	16	ENSP00000417763.1
3187	ENSG00000130520	11	ENSP00000469468.2
3192	ENSG00000124762	14	ENSP00000244741.6
3197	ENSG00000106144	20	ENSP00000312664.5
3207	ENSG00000133935	7	ENSP00000256319.6
3219	ENSG00000102781	14	ENSP00000369989.3
3224	ENSG00000168610	16	ENSP00000384943.3
3238	ENSG00000068001	14	ENSP00000350387.4
3260	ENSG00000112773	16	ENSP00000318298.6
3263	ENSG00000213593	10	ENSP00000278422.4
3267	ENSG00000074319	13	ENSP00000251968.3
3271	ENSG00000181610	13	ENSP00000320184.8
3292	ENSG00000117360	13	ENSP00000315379.6
3339	ENSG00000076604	16	ENSP00000262395.5
3340	ENSG00000088448	14	ENSP00000312534.4
3359	ENSG00000147383	11	ENSP00000359297.3
3360	ENSG00000165775	18	ENSP00000358510.3
3364	ENSG00000163156	12	ENSP00000357901.4
3392	ENSG00000090487	11	ENSP00000204566.2
3400	ENSG00000166681	14	ENSP00000361728.3
3405	ENSG00000137070	19	ENSP00000394391.3
3411	ENSG00000126351	13	ENSP00000264637.4
3414	ENSG00000108479	13	ENSP00000465930.1
3419	ENSG00000182197	13	ENSP00000367446.3
3422	ENSG00000130202	10	ENSP00000252485.3
3434	ENSG00000182195	9	ENSP00000359557.2
3438	ENSG00000170876	8	ENSP00000303992.5
3441	ENSG00000105372	8	ENSP00000470972.1
3449	ENSG00000173540	14	ENSP00000311130.6
3468	ENSG00000137806	10	ENSP00000260361.4
3479	ENSG00000100304	13	ENSP00000216129.6
3483	ENSG00000163754	18	ENSP00000296048.6
3484	ENSG00000160014	17	ENSP00000291295.8
3490	ENSG00000169136	13	ENSP00000396954.1
3504	ENSG00000157110	16	ENSP00000340176.4
3522	ENSG00000071051	14	ENSP00000233154.4
3523	ENSG00000160753	17	ENSP00000357333.4
3525	ENSG00000001036	14	ENSP00000002165.5
3533	ENSG00000113163	19	ENSP00000495446.1
3535	ENSG00000102119	12	ENSP00000358857.4
3543	ENSG00000120708	17	ENSP00000416330.2
3562	ENSG00000196923	14	ENSP00000348099.2
3564	ENSG00000204386	12	ENSP00000364782.4
3567	ENSG00000119408	17	ENSP00000319734.5
3568	ENSG00000221829	11	ENSP00000367910.4
3581	ENSG00000090674	16	ENSP00000264079.5
3594	ENSG00000100321	15	ENSP00000318845.4
3598	ENSG00000183283	16	ENSP00000394699.2
3601	ENSG00000156471	13	ENSP00000430548.1
3608	ENSG00000008283	16	ENSP00000354028.3
3632	ENSG00000168824	15	ENSP00000480081.1
3643	ENSG00000115211	17	ENSP00000233552.6
3648	ENSG00000182568	18	ENSP00000341024.5
3650	ENSG00000129195	16	ENSP00000250056.8
3668	ENSG00000161011	20	ENSP00000353944.5
3670	ENSG00000158716	9	ENSP00000357087.1
3672	ENSG00000186153	18	ENSP00000384495.2
3689	ENSG00000106633	18	ENSP00000384247.3
3693	ENSG00000178952	11	ENSP00000322439.3
3694	ENSG00000189266	13	ENSP00000334840.7
3697	ENSG00000186575	19	ENSP00000340626.4
3699	ENSG00000172466	16	ENSP00000261332.5
3701	ENSG00000164885	13	ENSP00000419782.1
3721	ENSG00000196363	10	ENSP00000351446.3
3722	ENSG00000117748	10	ENSP00000363021.3
3727	ENSG00000116701	16	ENSP00000356505.4
3731	ENSG00000147224	13	ENSP00000361512.4
3732	ENSG00000126088	14	ENSP00000246337.4
3739	ENSG00000165025	15	ENSP00000364907.4
3753	ENSG00000164008	17	ENSP00000361603.4
3754	ENSG00000036672	16	ENSP00000260187.2
3755	ENSG00000137168	8	ENSP00000362803.5
3756	ENSG00000124164	16	ENSP00000417175.1
3759	ENSG00000130818	12	ENSP00000253115.1
3760	ENSG00000163930	10	ENSP00000417132.1
3761	ENSG00000117318	9	ENSP00000363689.5
3768	ENSG00000100721	11	ENSP00000385036.1
3769	ENSG00000185359	14	ENSP00000331201.4
3772	ENSG00000111445	14	ENSP00000408295.2
3782	ENSG00000170365	10	ENSP00000305769.4
3787	ENSG00000141551	15	ENSP00000324464.6
3798	ENSG00000072110	16	ENSP00000193403.6
3799	ENSG00000135148	12	ENSP00000396526.2
3804	ENSG00000123810	9	ENSP00000243578.2
3818	ENSG00000087191	14	ENSP00000310572.6
3823	ENSG00000240682	10	ENSP00000376973.4
3824	ENSG00000223572	10	ENSP00000406577.3
3825	ENSG00000196230	14	ENSP00000339001.7
3833	ENSG00000144381	18	ENSP00000373620.3
3836	ENSG00000101558	14	ENSP00000382880.3
3837	ENSG00000121680	16	ENSP00000368024.5
3844	ENSG00000243989	9	ENSP00000490149.1
3872	ENSG00000197993	9	ENSP00000347409.2
3878	ENSG00000119401	11	ENSP00000408292.1
3882	ENSG00000161011	20	ENSP00000374455.4
3901	ENSG00000132781	20	ENSP00000361187.3
3903	ENSG00000160789	24	ENSP00000357284.2
3904	ENSG00000144063	4	ENSP00000272462.2
3907	ENSG00000087077	14	ENSP00000200457.4
3912	ENSG00000120708	17	ENSP00000416330.2
3928	ENSG00000136280	17	ENSP00000258781.7
3931	ENSG00000171159	5	ENSP00000362085.1
3933	ENSG00000129355	7	ENSP00000377224.1
3952	ENSG00000104969	11	ENSP00000221566.1
3958	ENSG00000214063	12	ENSP00000380552.2
3970	ENSG00000103415	12	ENSP00000459214.1
3975	ENSG00000135486	19	ENSP00000448617.1
3980	ENSG00000030582	18	ENSP00000053867.2
3983	ENSG00000143198	13	ENSP00000356864.3
3990	ENSG00000175166	17	ENSP00000310129.4
4004	ENSG00000168040	5	ENSP00000301838.5
4010	ENSG00000185019	17	ENSP00000217173.2
4019	ENSG00000135446	17	ENSP00000257904.5
4020	ENSG00000183765	23	ENSP00000385747.1
4040	ENSG00000079332	15	ENSP00000362338.4
4043	ENSG00000163050	18	ENSP00000355739.3
4046	ENSG00000140522	12	ENSP00000268125.5
4058	ENSG00000131848	10	ENSP00000507065.1
4062	ENSG00000123560	14	ENSP00000477619.1
4066	ENSG00000152137	8	ENSP00000281938.3
4071	ENSG00000113575	12	ENSP00000418447.1
4085	ENSG00000213639	11	ENSP00000378769.2
4099	ENSG00000118194	21	ENSP00000408731.2
4105	ENSG00000171346	16	ENSP00000254043.3
4126	ENSG00000115415	21	ENSP00000376136.3
4137	ENSG00000220205	10	ENSP00000314214.6
4146	ENSG00000185049	16	ENSP00000372335.4
4166	ENSG00000158517	16	ENSP00000289473.4
4167	ENSG00000135185	12	ENSP00000257637.3
4173	ENSG00000143793	13	ENSP00000272139.4
4177	ENSG00000100146	20	ENSP00000380093.2
4184	ENSG00000178307	10	ENSP00000319992.6
4190	ENSG00000214160	10	ENSP00000380793.3
4193	ENSG00000159231	6	ENSP00000290354.5
4218	ENSG00000119703	15	ENSP00000390606.2
4236	ENSG00000214253	9	ENSP00000223136.4
4239	ENSG00000167779	9	ENSP00000301464.3
4249	ENSG00000143368	10	ENSP00000271628.8
4252	ENSG00000197746	15	ENSP00000378394.3
4255	ENSG00000105619	14	ENSP00000375639.1
4289	ENSG00000116062	19	ENSP00000234420.5
4302	ENSG00000005238	20	ENSP00000319897.5
4309	ENSG00000128335	14	ENSP00000351292.5
4315	ENSG00000103018	18	ENSP00000308430.8
4320	ENSG00000126970	17	ENSP00000363972.3
4350	ENSG00000143553	11	ENSP00000357674.5
4351	ENSG00000103202	13	ENSP00000219479.2
4361	ENSG00000185247	15	ENSP00000328177.4
4373	ENSG00000128652	12	ENSP00000507129.1
4381	ENSG00000120942	14	ENSP00000366006.5
4384	ENSG00000125952	20	ENSP00000351490.4
4396	ENSG00000104957	14	ENSP00000221554.7
4406	ENSG00000127445	14	ENSP00000247970.5
4407	ENSG00000011007	13	ENSP00000484196.2
4414	ENSG00000244067	3	ENSP00000420168.1
4418	ENSG00000177519	4	ENSP00000314946.3
4434	ENSG00000185803	12	ENSP00000496184.2
4443	ENSG00000070669	17	ENSP00000377845.3
4447	ENSG00000185482	8	ENSP00000452068.1
4452	ENSG00000168066	21	ENSP00000227503.9
4453	ENSG00000174775	18	ENSP00000434023.1
4461	ENSG00000184697	7	ENSP00000328674.4
4465	ENSG00000108309	14	ENSP00000225441.7
4480	ENSG00000097033	15	ENSP00000473267.1
4481	ENSG00000027847	14	ENSP00000029410.5
4482	ENSG00000197696	10	ENSP00000378089.3
4484	ENSG00000174371	17	ENSP00000355506.3
4499	ENSG00000166974	13	ENSP00000300249.4
4506	ENSG00000189058	9	ENSP00000345179.3
4515	ENSG00000108439	11	ENSP00000493302.2
4516	ENSG00000087338	5	ENSP00000282570.3
4519	ENSG00000144591	20	ENSP00000315925.6
4538	ENSG00000116691	11	ENSP00000235332.4
4546	ENSG00000159840	16	ENSP00000324422.5
4552	ENSG00000215717	7	ENSP00000342148.7
4562	ENSG00000196290	17	ENSP00000386394.1
4568	ENSG00000095485	18	ENSP00000326411.6
4569	ENSG00000107816	17	ENSP00000416972.2
4573	ENSG00000182872	16	ENSP00000366829.3
4576	ENSG00000099968	18	ENSP00000318883.5
4605	ENSG00000114030	13	ENSP00000343701.6
4616	ENSG00000103275	21	ENSP00000384361.1
4621	ENSG00000105700	11	ENSP00000222307.3
4622	ENSG00000109079	10	ENSP00000226225.2
4623	ENSG00000117153	16	ENSP00000356230.3
4625	ENSG00000248098	12	ENSP00000269980.2
4635	ENSG00000147274	14	ENSP00000359645.3
4636	ENSG00000139546	11	ENSP00000266987.2
4662	ENSG00000099622	14	ENSP00000322887.4
4664	ENSG00000071539	14	ENSP00000166345.3
4671	ENSG00000077312	9	ENSP00000243563.2
4676	ENSG00000132386	11	ENSP00000254722.4
4683	ENSG00000131828	14	ENSP00000394382.2
4687	ENSG00000141646	15	ENSP00000341551.3
4692	ENSG00000111716	14	ENSP00000229319.1
4695	ENSG00000123415	16	ENSP00000421139.1
4696	ENSG00000134590	14	ENSP00000257013.7
4706	ENSG00000165119	22	ENSP00000365439.3
4717	ENSG00000138180	16	ENSP00000360540.3
4723	ENSG00000140416	24	ENSP00000288398.6
4725	ENSG00000163682	17	ENSP00000346022.7
4727	ENSG00000213416	4	ENSP00000377582.1
